locus_tag,gene_name,old_locus_tag,start,end,strand,gene_product,COG,uniprot
b0001,thrL,,190,255,+,thr operon leader peptide,No COG annotation,P0AD86
b0002,thrA,,337,2799,+,fused aspartate kinase/homoserine dehydrogenase 1,Amino acid transport and metabolism,P00561
b0003,thrB,,2801,3733,+,homoserine kinase,Nucleotide transport and metabolism,P00547
b0004,thrC,,3734,5020,+,threonine synthase,Amino acid transport and metabolism,P00934
b0005,yaaX,,5234,5530,+,DUF2502 domain-containing protein YaaX,Function unknown,P75616
b0006,yaaA,,5683,6459,-,peroxide stress resistance protein YaaA,Function unknown,P0A8I3
b0007,yaaJ,,6529,7959,-,putative transporter YaaJ,Amino acid transport and metabolism,P30143
b0008,talB,,8238,9191,+,transaldolase B,Carbohydrate transport and metabolism,P0A870
b0009,mog,,9306,9893,+,molybdopterin adenylyltransferase,Nucleotide transport and metabolism,P0AF03
b0010,satP,,9928,10494,-,acetate/succinate:H(+) symporter,Function unknown,P0AC98
b0011,yaaW,,10643,11356,-,putative enzyme-specific chaperone YaaW,Function unknown,P75617
b0012,mbiA,,10830,11315,+,uncharacterized protein MbiA,No COG annotation,UPI000016F239
b0013,yaaI,,11382,11786,-,DUF2541 domain-containing protein YaaI,Function unknown,P28696
b0014,dnaK,,12163,14079,+,chaperone protein DnaK,"Post-translational modification, protein turnover,and chaperones",P0A6Y8
b0015,dnaJ,,14168,15298,+,chaperone protein DnaJ,"Post-translational modification, protein turnover,and chaperones",P08622
b0016,insL-1,,15445,16557,+,IS186/IS421 transposase,"Replication, recombination and repair",P0CF91
b4412,hokC,,16751,16903,-,protein HokC,Function unknown,P0ACG4
b0018,mokC,,16751,16960,-,regulatory protein MokC,Function unknown,P33236
b0019,nhaA,,17489,18655,+,Na(+):H(+) antiporter NhaA,Inorganic ion transport and metabolism,P13738
b0020,nhaR,,18715,19620,+,DNA-binding transcriptional activator NhaR,Transcription,P0A9G2
b0021,insB-1,,19811,20314,-,IS1 protein InsB,"Replication, recombination and repair",A0A385XJL4
b0022,insA-1,,20233,20508,-,IS1 protein InsA,"Replication, recombination and repair",A0A385XJ53
b0023,rpsT,,20815,21078,-,30S ribosomal subunit protein S20,"Translation, ribosomal structure and biogenesis",P0A7U7
b0024,yaaY,,21181,21399,+,DUF2575 domain-containing protein YaaY,Function unknown,P75620
b0025,ribF,,21407,22348,+,bifunctional riboflavin kinase/FMN adenylyltransferase,Coenzyme transport and metabolism,P0AG40
