locus_id,go_id,go_name
b0001,GO:0031555,transcriptional attenuation
b0002,GO:0004072,aspartate kinase activity
b0002,GO:0004412,homoserine dehydrogenase activity
b0002,GO:0005737,cytoplasm
b0002,GO:0009089,lysine biosynthetic process via diaminopimelate
b0002,GO:0009090,homoserine biosynthetic process
b0003,GO:0004413,homoserine kinase activity
b0003,GO:0005829,cytosol
b0003,GO:0009086,methionine biosynthetic process
b0003,GO:0009088,threonine biosynthetic process
b0003,GO:0009092,homoserine metabolic process
b0004,GO:0004795,threonine synthase activity
b0004,GO:0005829,cytosol
b0004,GO:0009088,threonine biosynthetic process
b0006,GO:0005829,cytosol
b0006,GO:0033194,response to hydroperoxide
b0007,GO:0005886,plasma membrane
b0008,GO:0004801,sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity
b0008,GO:0005829,cytosol
b0008,GO:0009052,"pentose-phosphate shunt, non-oxidative branch"
b0008,GO:0016020,membrane
b0008,GO:0016744,"transferase activity, transferring aldehyde or ketonic groups"
b0009,GO:0005515,protein binding
b0009,GO:0005829,cytosol
b0009,GO:0032324,molybdopterin cofactor biosynthetic process
b0009,GO:0042802,identical protein binding
b0009,GO:0061598,molybdopterin adenylyltransferase activity
b0010,GO:0005886,plasma membrane
b0010,GO:0005887,integral component of plasma membrane
b0010,GO:0015360,acetate:proton symporter activity
b0010,GO:0035433,acetate transmembrane transport
b0010,GO:0071422,succinate transmembrane transport
b0014,GO:0005515,protein binding
b0014,GO:0005524,ATP binding
b0014,GO:0005737,cytoplasm
b0014,GO:0005829,cytosol
b0014,GO:0006461,protein complex assembly
b0014,GO:0008270,zinc ion binding
b0014,GO:0009408,response to heat
b0014,GO:0016020,membrane
b0014,GO:0016989,sigma factor antagonist activity
b0014,GO:0034620,cellular response to unfolded protein
b0014,GO:0043241,protein complex disassembly
b0014,GO:0043531,ADP binding
b0014,GO:0044183,protein binding involved in protein folding
b0014,GO:0051082,unfolded protein binding
b0014,GO:0051085,chaperone cofactor-dependent protein refolding
b0015,GO:0003756,protein disulfide isomerase activity
b0015,GO:0005515,protein binding
b0015,GO:0005737,cytoplasm
b0015,GO:0005829,cytosol
