locus_tag,gene_name,synonyms,gene_product,COG,regulator,uniprot,start,end,strand,in_iM,in_sg_iM,essential,core_genome,iML1515,oxidizeME,DGF_strain,MS57,pseudogene,y_ome,k_eff,schmidt_prot_med,heckmann_prot_med,p1k_ctrl_log_tpm,p1k_log_tpm_med,p1k_log_tpm_med_abs_dev
b0001,thrL,thrL,thr operon leader peptide,No COG annotation,,P0AD86,190,255,+,False,False,False,False,False,False,True,True,False,False,False,,,,,
b0002,thrA,thrA;thrA1;thrA2,fused aspartate kinase/homoserine dehydrogenase 1,Amino acid transport and metabolism,"RpoD,Ile-tRNA,Thr-tRNA,DksA,Fnr,ArcA,ppGpp",P00561,337,2799,+,True,False,False,False,True,True,True,True,False,False,True,4101.5,4434.0,10.31456227,9.601211845,0.7039388139999989
b0003,thrB,thrB,homoserine kinase,Nucleotide transport and metabolism,"RpoD,Ile-tRNA,Thr-tRNA,DksA,ppGpp",P00547,2801,3733,+,True,False,False,False,True,True,True,True,False,False,True,442.0,1177.0,9.9822505955,9.219235143,0.7010421979999997
b0004,thrC,thrC,threonine synthase,Amino acid transport and metabolism,"RpoD,ppGpp,Ile-tRNA,Thr-tRNA,DksA",P00934,3734,5020,+,True,False,False,False,True,True,True,True,False,False,True,8818.5,3516.0,9.973666136,9.270351858,0.6189620980000008
b0005,yaaX,yaaX,DUF2502 domain-containing protein YaaX,Function unknown,Lrp,P75616,5234,5530,+,True,False,False,False,False,False,True,True,False,True,False,,,7.1324817945,6.281161432,0.7312804350000004
b0006,yaaA,yaaA,peroxide stress resistance protein YaaA,Function unknown,,P0A8I3,5683,6459,-,True,False,False,False,False,False,True,True,False,True,True,539.5,333.0,6.4949411375,6.3451537239999976,0.30639431275530793
b0007,yaaJ,yaaJ,putative transporter YaaJ,Amino acid transport and metabolism,,P30143,6529,7959,-,True,False,False,False,True,True,True,True,False,True,False,,,2.9885548745,3.38068288,0.48452989599999974
b0008,talB,talB;yaaK,transaldolase B,Carbohydrate transport and metabolism,,P0A870,8238,9191,+,False,False,False,False,True,True,True,True,False,False,True,9899.0,7449.0,10.68361468,10.39886454,0.33569928000000004
b0009,mog,mog;chlG;mogA;yaaG,molybdopterin adenylyltransferase,Nucleotide transport and metabolism,,P0AF03,9306,9893,+,True,False,False,False,True,True,True,True,False,False,True,24.0,222.0,5.9642162795,6.014652936,0.3394578279999996
b0010,satP,satP;yaaH,acetate/succinate:H(+) symporter,Function unknown,ppGpp,P0AC98,9928,10494,-,False,False,False,False,True,False,True,True,False,False,False,,,4.7168462575,4.489058451043328,0.4371113400433275
b0011,yaaW,yaaW,putative enzyme-specific chaperone YaaW,Function unknown,,P75617,10643,11356,-,False,False,False,False,False,False,True,True,False,True,False,,,1.903270928,2.1120004430000003,0.3584679009999996
b0012,mbiA,,uncharacterized protein MbiA,No COG annotation,RpoH,UPI000016F239,10830,11315,+,False,False,False,False,False,False,False,False,False,True,False,,,0.299486482,0.594026547,0.342889694
b0013,yaaI,yaaI,DUF2541 domain-containing protein YaaI,Function unknown,,P28696,11382,11786,-,False,False,False,False,False,False,True,True,False,True,False,,,1.190337193,1.317029395,0.3941013041221072
b0014,dnaK,dnaK;groP;grpF;seg,chaperone protein DnaK,"Post-translational modification, protein turnover,and chaperones","YbiH,RpoH,gcvB",P0A6Y8,12163,14079,+,True,False,False,True,False,True,True,True,False,False,True,18277.0,7277.0,9.5705792205,9.787775831,0.5078449389999999
b0015,dnaJ,dnaJ;groP,chaperone protein DnaJ,"Post-translational modification, protein turnover,and chaperones","RpoH,ppGpp",P08622,14168,15298,+,True,False,False,True,False,True,True,True,False,False,True,657.5,1141.0,7.5775334574999995,7.786829787,0.46429428599999945
b0016,insL-1,insL1,IS186/IS421 transposase,"Replication, recombination and repair",ppGpp,P0CF91,15445,16557,+,True,False,False,False,False,False,False,False,False,False,False,,,5.8941026905000005,5.659339052999999,0.34156823300000116
b4412,hokC,hokC;gef,protein HokC,Function unknown,,P0ACG4,16751,16903,-,False,False,False,False,False,False,False,False,False,False,False,,,,,
b0018,mokC,mokC;gefL,regulatory protein MokC,Function unknown,sokC,P33236,16751,16960,-,False,False,False,False,False,False,True,False,False,True,False,,,3.4992482705,3.724600236,0.6229791040000001
b0019,nhaA,nhaA;ant,Na(+):H(+) antiporter NhaA,Inorganic ion transport and metabolism,"RpoD,YdcI,RpoS,H-NS,ppGpp,NhaR",P13738,17489,18655,+,False,False,False,False,True,True,True,False,False,False,False,,,5.6964065955,5.930505067,0.4423221340000012
b0020,nhaR,nhaR;antO,DNA-binding transcriptional activator NhaR,Transcription,"RpoD,RpoS,H-NS,NhaR,CsrA,YdeO",P0A9G2,18715,19620,+,False,False,False,False,False,False,True,False,False,False,False,,,5.8164771085,5.418789779,0.36218360300000096
b0021,insB-1,insB1,IS1 protein InsB,"Replication, recombination and repair",,A0A385XJL4,19811,20314,-,True,False,False,False,False,False,False,False,False,False,False,,,1.6051210285000002,2.4384750790000003,0.5682510829999998
b0022,insA-1,insA1,IS1 protein InsA,"Replication, recombination and repair",ppGpp,A0A385XJ53,20233,20508,-,True,False,False,False,False,False,False,False,False,False,False,,,4.340658829500001,3.981927598,0.6136053150000005
b0023,rpsT,rpsT,30S ribosomal subunit protein S20,"Translation, ribosomal structure and biogenesis","ppGpp,DksA",P0A7U7,20815,21078,-,True,False,False,True,False,True,True,True,False,False,True,18653.0,1597.0,12.094109915,11.62151669,0.6061188000000008
b0024,yaaY,yaaY,DUF2575 domain-containing protein YaaY,Function unknown,,P75620,21181,21399,+,True,False,False,False,False,False,True,True,False,True,False,,,3.3954527545,3.872473825,0.8399367209999999
b0025,ribF,ribF;yaaC,bifunctional riboflavin kinase/FMN adenylyltransferase,Coenzyme transport and metabolism,RpoD,P0AG40,21407,22348,+,False,False,True,True,True,True,True,True,False,False,True,136.0,207.0,8.1726282895,7.976904865,0.29599687064959745
